"Date","Price","Open","High","Low","Vol.","Change %"
"06/01/1996","20.66","20.40","22.20","20.00","1.59M","1.27%"
"07/01/1996","20.52","20.66","21.80","20.10","1.74M","-0.68%"
"08/01/1996","20.82","20.50","22.34","20.44","1.13M","1.46%"
"09/01/1996","21.46","20.90","21.92","20.72","1.09M","3.07%"
"10/01/1996","21.58","21.46","21.88","21.10","1.34M","0.56%"
"11/01/1996","22.06","21.66","22.58","21.48","1.53M","2.22%"
"12/01/1996","22.24","21.94","23.50","21.56","3.40M","0.82%"
"01/01/1997","23.10","22.20","23.30","21.76","4.05M","3.87%"
"02/01/1997","23.76","23.20","25.00","23.06","2.62M","2.86%"
"03/01/1997","24.20","23.78","25.28","23.74","2.39M","1.85%"
"04/01/1997","25.42","24.16","25.70","23.94","2.40M","5.04%"
"05/01/1997","28.90","25.42","29.70","25.10","3.68M","13.69%"
"06/01/1997","31.60","29.00","32.48","28.56","5.02M","9.34%"
"07/01/1997","31.62","31.68","32.14","30.76","2.86M","0.06%"
"08/01/1997","27.84","31.70","31.90","27.54","2.92M","-11.95%"
"09/01/1997","29.90","27.86","30.28","27.86","1.83M","7.40%"
"10/01/1997","29.38","29.96","31.30","28.00","2.39M","-1.74%"
"11/01/1997","30.16","29.42","30.90","29.08","1.33M","2.65%"
"12/01/1997","30.78","30.40","31.06","29.96","2.11M","2.06%"
"01/01/1998","33.54","30.78","33.86","30.58","3.75M","8.97%"
"02/01/1998","37.20","33.86","37.28","33.84","3.75M","10.91%"
"03/01/1998","44.90","37.38","46.48","37.32","10.53M","20.70%"
"04/01/1998","45.90","45.00","47.46","43.68","6.87M","2.23%"
"05/01/1998","46.96","46.00","49.76","45.16","5.84M","2.31%"
"06/01/1998","52.26","46.80","55.90","46.80","11.57M","11.29%"
"07/01/1998","46.84","52.26","52.44","45.44","9.67M","-10.37%"
"08/01/1998","40.16","47.00","48.70","40.10","9.39M","-14.26%"
"09/01/1998","39.86","40.04","43.62","37.86","14.08M","-0.75%"
"10/01/1998","42.96","39.20","45.64","38.32","11.33M","7.78%"
"11/01/1998","45.02","43.26","46.72","43.00","7.86M","4.80%"
"12/01/1998","47.00","44.92","47.50","39.00","20.56M","4.40%"
"01/01/1999","43.00","47.08","47.40","40.96","27.57M","-8.51%"
"02/01/1999","47.58","44.60","51.70","44.00","18.45M","10.65%"
"03/01/1999","47.02","47.40","54.26","47.02","20.96M","-1.18%"
"04/01/1999","49.40","47.44","50.12","46.04","15.60M","5.06%"
"05/01/1999","46.36","50.00","50.80","45.70","12.10M","-6.15%"
"06/01/1999","44.80","46.20","48.50","44.22","10.89M","-3.36%"
"07/01/1999","42.54","44.70","46.66","42.20","13.56M","-5.04%"
"08/01/1999","40.06","42.30","43.30","39.98","15.06M","-5.83%"
"09/01/1999","37.12","40.24","41.40","36.04","16.57M","-7.34%"
"10/01/1999","41.80","36.80","42.00","35.84","14.46M","12.61%"
