"Date","Price","Open","High","Low","Vol.","Change %"
"06/01/1994","119.5","121.8","129.9","112.7","","-1.89%"
"07/01/1994","122.5","119.5","133.0","115.4","","2.51%"
"08/01/1994","134.9","122.5","139.5","121.8","","10.12%"
"09/01/1994","128.8","134.9","138.1","126.7","","-4.52%"
"10/01/1994","141.8","128.8","142.8","117.4","","10.09%"
"11/01/1994","138.4","141.8","145.9","134.1","","-2.40%"
"12/01/1994","140.1","138.4","142.4","130.2","","1.23%"
"01/01/1995","139.5","140.1","150.5","133.9","","-0.43%"
"02/01/1995","162.2","139.5","162.2","139.5","","16.27%"
"03/01/1995","174.4","162.2","186.9","161.9","","7.52%"
"04/01/1995","197.2","174.4","198.3","169.7","","13.07%"
"05/01/1995","214.1","197.8","235.6","192.7","","8.57%"
"06/01/1995","244.0","214.4","252.9","214.4","","13.97%"
"07/01/1995","282.1","244.0","290.4","242.7","","15.61%"
"08/01/1995","275.6","282.3","301.8","254.8","","-2.30%"
"09/01/1995","275.1","275.2","303.9","256.6","","-0.18%"
"10/01/1995","254.6","275.1","278.5","223.8","","-7.45%"
"11/01/1995","227.5","254.6","261.2","209.2","","-10.64%"
"12/01/1995","200.7","227.9","232.7","190.1","","-11.78%"
"01/01/1996","186.7","202.4","204.8","163.8","","-6.98%"
"02/01/1996","186.2","186.3","212.0","185.8","","-0.27%"
"03/01/1996","176.0","185.3","190.8","165.8","","-5.48%"
"04/01/1996","206.1","176.3","215.4","173.3","","17.10%"
"05/01/1996","205.9","205.6","216.9","186.8","","-0.10%"
"06/01/1996","174.7","205.3","206.4","167.9","","-15.15%"
"07/01/1996","155.9","175.9","181.1","139.0","","-10.76%"
"08/01/1996","169.5","156.3","179.2","155.3","","8.72%"
"09/01/1996","187.5","168.1","199.0","159.8","","10.62%"
"10/01/1996","187.1","186.3","206.6","181.5","","-0.21%"
"11/01/1996","237.9","187.0","239.0","186.5","","27.15%"
"12/01/1996","240.3","237.2","257.7","232.1","","1.01%"
"01/01/1997","288.7","240.6","290.7","234.7","","20.14%"
"02/01/1997","272.9","288.7","291.6","262.0","","-5.47%"
"03/01/1997","268.9","272.9","288.2","247.2","","-1.47%"
"04/01/1997","283.3","268.9","300.0","253.4","","5.36%"
"05/01/1997","311.2","283.3","332.6","282.9","","9.85%"
"06/01/1997","305.7","311.2","318.1","285.6","","-1.77%"
"07/01/1997","366.2","305.7","369.5","305.1","","19.79%"
"08/01/1997","373.2","366.2","405.5","364.2","","1.91%"
"09/01/1997","381.6","373.2","398.4","369.6","","2.25%"
"10/01/1997","301.9","381.6","393.8","275.3","","-20.89%"
"11/01/1997","290.6","301.9","331.3","271.0","","-3.74%"
"12/01/1997","263.6","290.6","305.7","242.8","","-9.29%"
"01/01/1998","289.1","263.6","294.6","242.8","","9.67%"
"02/01/1998","316.4","289.1","330.6","289.1","","9.44%"
"03/01/1998","298.7","316.4","317.8","282.1","","-5.59%"
"04/01/1998","315.9","298.7","326.1","285.4","","5.76%"
"05/01/1998","259.3","315.9","321.6","259.3","","-17.92%"
"06/01/1998","245.9","259.3","264.3","226.4","","-5.17%"
"07/01/1998","255.2","245.9","276.6","243.0","","3.78%"
"08/01/1998","193.5","255.2","276.5","193.4","","-24.18%"
"09/01/1998","212.8","193.5","229.8","190.0","","9.97%"
"10/01/1998","262.6","212.8","266.6","182.6","","23.40%"
"11/01/1998","306.1","262.6","322.7","255.7","","16.57%"
"12/01/1998","350.6","306.1","362.7","299.4","","14.54%"
"01/01/1999","420.4","350.6","428.1","350.6","","19.91%"
"02/01/1999","356.3","420.4","421.8","351.4","","-15.25%"
"03/01/1999","370.7","356.3","395.2","345.7","","4.04%"
"04/01/1999","370.3","370.6","420.7","361.7","","-0.11%"
"05/01/1999","388.1","370.3","429.3","363.3","","4.81%"
"06/01/1999","484.4","388.2","486.0","371.8","","24.81%"
"07/01/1999","494.0","484.4","533.5","469.7","","1.98%"
"08/01/1999","522.0","494.0","534.7","473.9","","5.67%"
"09/01/1999","499.1","522.0","579.7","494.9","","-4.39%"
"10/01/1999","555.8","499.0","560.5","476.0","","11.36%"
"11/01/1999","609.4","555.8","661.8","554.7","","9.64%"
"12/01/1999","704.6","609.4","710.0","582.5","","15.62%"
"01/01/2000","778.1","704.6","833.5","662.4","","10.43%"
"02/01/2000","1,170.5","778.1","1,174.2","761.5","","50.43%"
"03/01/2000","1,181.9","1,170.5","1,362.1","1,115.0","","0.97%"
"04/01/2000","1,171.6","1,181.9","1,240.9","873.9","","-0.87%"
"05/01/2000","998.4","1,171.6","1,206.6","821.6","","-14.78%"
"06/01/2000","1,140.5","998.4","1,280.8","998.4","","14.23%"
"07/01/2000","993.9","1,140.5","1,269.6","934.7","","-12.85%"
"08/01/2000","1,153.0","993.9","1,169.2","880.5","","16.01%"
"09/01/2000","851.6","1,153.0","1,175.2","850.5","","-26.14%"
"10/01/2000","741.8","851.6","873.6","602.0","","-12.89%"
"11/01/2000","537.0","741.8","760.8","516.6","","-27.61%"
"12/01/2000","576.6","537.0","688.2","530.4","","7.37%"
"01/01/2001","732.2","576.6","763.3","556.5","","26.99%"
"02/01/2001","541.2","732.2","746.3","528.3","","-26.09%"
"03/01/2001","545.0","524.6","665.8","515.3","","0.70%"
"04/01/2001","662.7","545.0","695.5","453.9","","21.60%"
"05/01/2001","598.7","654.2","710.8","578.4","","-9.66%"
"06/01/2001","624.1","598.7","697.0","559.2","","4.24%"
"07/01/2001","605.9","624.1","645.9","530.9","","-2.92%"
"08/01/2001","562.7","619.9","657.4","536.4","","-7.13%"
"09/01/2001","373.7","562.7","572.2","343.9","","-33.59%"
"10/01/2001","448.0","375.2","490.7","345.5","","19.88%"
"11/01/2001","519.0","448.0","553.6","447.2","","15.85%"
"12/01/2001","522.2","519.0","590.4","506.4","","0.62%"
"01/01/2002","558.9","522.2","606.9","499.1","","7.03%"
"02/01/2002","510.8","558.9","579.9","500.6","","-8.61%"
"03/01/2002","595.2","510.8","641.9","510.8","","16.52%"
"04/01/2002","525.7","595.2","618.4","505.9","","-11.68%"
"05/01/2002","476.3","525.7","558.9","455.3","","-9.40%"
"06/01/2002","387.6","471.6","474.8","358.6","","-18.62%"
"07/01/2002","330.9","387.6","407.8","304.4","","-14.63%"
"08/01/2002","300.2","330.9","367.9","282.8","","-9.28%"
"09/01/2002","238.2","300.2","310.8","231.6","","-20.65%"
"10/01/2002","295.1","238.2","305.0","209.3","","23.89%"
"11/01/2002","373.5","295.1","386.3","282.0","","26.57%"
"12/01/2002","289.2","373.5","393.8","285.7","","-22.57%"
"01/01/2003","271.7","289.2","348.4","261.4","","-6.05%"
"02/01/2003","297.6","271.7","297.7","258.6","","9.53%"
"03/01/2003","296.3","297.6","337.9","277.9","","-0.44%"
"04/01/2003","332.5","296.3","349.0","296.3","","12.22%"
"05/01/2003","382.3","332.5","384.4","326.4","","14.98%"
"06/01/2003","359.7","382.3","412.7","353.5","","-5.91%"
"07/01/2003","389.6","359.7","408.8","351.2","","8.31%"
"08/01/2003","456.1","389.6","457.6","366.4","","17.07%"
"09/01/2003","419.8","456.1","472.9","418.8","","-7.96%"
"10/01/2003","496.5","419.8","505.8","419.8","","18.27%"
"11/01/2003","529.3","496.5","532.2","494.7","","6.61%"
"12/01/2003","508.1","529.3","536.3","468.2","","-4.01%"
"01/01/2004","514.4","508.1","560.7","502.6","","1.24%"
"02/01/2004","502.3","514.4","535.5","491.3","","-2.35%"
"03/01/2004","487.1","502.3","521.1","453.2","","-3.03%"
"04/01/2004","443.5","487.1","518.7","441.3","","-8.95%"
"05/01/2004","488.9","445.7","490.5","433.0","","10.24%"
"06/01/2004","485.1","488.9","490.1","449.1","","-0.78%"
"07/01/2004","416.4","485.1","485.1","390.1","","-14.16%"
"08/01/2004","371.0","416.4","419.2","360.6","","-10.90%"
"09/01/2004","384.2","371.0","406.7","350.9","","3.56%"
"10/01/2004","412.2","384.2","415.9","374.7","","7.29%"
"11/01/2004","423.9","412.2","445.9","404.0","","2.84%"
"12/01/2004","433.3","426.4","453.9","414.0","","2.22%"
"01/01/2005","404.0","433.3","437.5","382.6","","-6.76%"
"02/01/2005","437.2","403.9","449.1","397.0","","8.22%"
"03/01/2005","417.0","437.6","447.7","408.7","","-4.62%"
"04/01/2005","385.6","417.8","421.6","376.6","","-7.53%"
"05/01/2005","428.9","386.1","434.3","383.4","","11.23%"
"06/01/2005","419.1","428.9","446.4","418.5","","-2.28%"
"07/01/2005","474.4","419.4","480.3","417.9","","13.19%"
"08/01/2005","473.8","474.9","486.3","457.3","","-0.13%"
"09/01/2005","475.3","473.5","485.6","452.8","","0.32%"
"10/01/2005","432.6","476.1","483.2","413.0","","-8.98%"
"11/01/2005","481.6","432.1","486.6","427.2","","11.33%"
"12/01/2005","479.5","489.7","510.4","475.1","","-0.44%"
"01/01/2006","539.1","480.6","559.6","475.9","","12.43%"
"02/01/2006","523.2","537.6","555.9","517.8","","-2.95%"
"03/01/2006","499.6","524.8","550.9","489.3","","-4.51%"
"04/01/2006","516.9","500.0","535.8","498.0","","3.46%"
"05/01/2006","464.7","517.0","532.2","456.3","","-10.10%"
"06/01/2006","441.7","464.7","479.4","423.2","","-4.95%"
"07/01/2006","412.8","441.7","446.7","384.3","","-6.54%"
"08/01/2006","449.2","412.8","454.5","401.0","","8.82%"
"09/01/2006","454.7","449.4","473.4","432.2","","1.22%"
"10/01/2006","458.1","454.9","476.9","443.8","","0.75%"
"11/01/2006","479.0","459.0","492.5","445.4","","4.56%"
"12/01/2006","467.9","478.8","493.2","463.5","","-2.32%"
"01/01/2007","458.9","469.9","488.4","449.3","","-1.92%"
"02/01/2007","473.6","460.1","492.3","457.5","","3.20%"
"03/01/2007","465.6","468.6","484.4","457.0","","-1.69%"
"04/01/2007","492.9","466.1","506.9","461.3","","5.86%"
"05/01/2007","488.3","493.0","510.3","476.9","","-0.93%"
"06/01/2007","501.2","488.4","513.0","473.3","","2.64%"
"07/01/2007","499.1","501.3","549.4","498.8","","-0.42%"
"08/01/2007","497.4","499.1","512.0","465.4","","-0.34%"
"09/01/2007","500.1","497.3","512.6","482.3","","0.54%"
"10/01/2007","463.4","500.2","508.3","447.1","","-7.34%"
"11/01/2007","414.6","463.3","463.3","401.9","","-10.53%"
"12/01/2007","408.0","414.6","435.0","405.1","","-1.59%"
"01/01/2008","359.0","407.9","409.1","334.3","","-12.01%"
"02/01/2008","348.1","359.0","380.1","336.7","","-3.04%"
"03/01/2008","343.9","348.0","356.6","332.1","","-1.21%"
"04/01/2008","385.2","344.2","394.9","344.2","","12.01%"
"05/01/2008","415.2","385.1","429.4","384.5","","7.79%"
