Rebal_Date,Next_Rebal,Period_Return,Portfolio_Value,Top_Holdings
2006-02-28,2006-03-31,0.04578295090307275,104.57829509030728,"VRTX, MNST, ISRG, GOOGL, GOOG"
2006-03-31,2006-04-28,0.053304824422340406,110.15282274848381,"VRTX, MNST, ILMN, AKAM, SBAC"
2006-04-28,2006-05-31,-0.06034852417890847,103.50526246147192,"MNST, ILMN, AKAM, VRTX, NVDA"
2006-05-31,2006-06-30,0.0207718856996433,105.65526194263319,"MNST, AKAM, NVDA, SBAC, VRTX"
2006-06-30,2006-07-31,-0.026229415929652368,102.88398613198349,"MNST, GRMN, AKAM, ILMN, VRTX"
2006-07-31,2006-08-31,0.001439187127668306,103.03205544046784,"MNST, AKAM, GRMN, ILMN, BMRN"
2006-08-31,2006-09-29,0.04448148896001845,107.61507467707102,"MNST, ILMN, AKAM, CMCSA, GRMN"
2006-09-29,2006-10-31,0.06928768911455067,115.07147451533507,"AKAM, ILMN, BMRN, INTU, CMCSA"
2006-10-31,2006-11-30,0.0165632607004004,116.97743334691205,"AKAM, CMCSA, ILMN, INTU, MDLZ"
2006-11-30,2006-12-29,0.008081180678217417,117.9227491210626,"CMCSA, MAT, AKAM, ILMN, INTU"
2006-12-29,2007-01-31,0.01770671922095405,120.01077412951227,"CMCSA, AKAM, NVDA, CSCO, MAT"
2007-01-31,2007-02-28,-0.013716131439890675,118.36469057734885,"CMCSA, MAT, NVDA, AKAM, CSCO"
2007-02-28,2007-03-30,0.0066661236570018136,119.15372424136022,"MAT, CMCSA, MAR, AKAM, CSCO"
2007-03-30,2007-04-30,0.04516520179977259,124.53532624191571,"MAT, PCAR, MAR, CTSH, ROST"
2007-04-30,2007-05-31,0.036225976578906534,129.04674005360184,"MAT, PCAR, MAR, CMCSA, DLTR"
2007-05-31,2007-06-29,-0.0018117257115555824,128.81294275665428,"PCAR, MAT, INCY, DLTR, AMZN"
2007-06-29,2007-07-31,-0.026782144028066196,125.36305597106652,"PCAR, MAT, DLTR, EXPE, AAPL"
2007-07-31,2007-08-31,0.04199822650166896,130.62808199068078,"AAPL, EXPE, DLTR, PCAR, AMZN"
2007-08-31,2007-09-28,0.06656933722745423,139.32390683209397,"AMZN, GRMN, BIDU, AAPL, ISRG"
2007-09-28,2007-10-31,0.06831706736412861,148.84210756057573,"AMZN, BIDU, GRMN, ISRG, AAPL"
2007-10-31,2007-11-30,-0.06611623881604131,139.0012272312178,"BIDU, AMZN, EXPE, AAPL, ISRG"
2007-11-30,2007-12-31,-0.00589164530814696,138.1822813029743,"BIDU, ISRG, AAPL, GOOG, GOOGL"
2007-12-31,2008-01-31,-0.15231288815017324,117.13533894653861,"BIDU, ISRG, AAPL, GRMN, GOOG"
2008-01-31,2008-02-29,-0.05106941534869723,111.1533056698674,"ISRG, BIDU, BMRN, AAPL, GOOG"
2008-02-29,2008-03-31,0.0029868859457798875,111.48530791639969,"BMRN, INCY, ISRG, ILMN, BIDU"
2008-03-31,2008-04-30,0.08693788060121582,121.17760430482542,"BMRN, ILMN, ISRG, NFLX, WDC"
2008-04-30,2008-05-30,0.03631386740782395,125.57803176034862,"ILMN, ISRG, BMRN, NFLX, GILD"
2008-05-30,2008-06-30,-0.08403949323678668,115.02451760953582,"ILMN, BMRN, BIDU, WDC, GILD"
2008-06-30,2008-07-31,0.0512352858784654,120.91783165229297,"ILMN, BMRN, WDC, GILD, ROST"
2008-07-31,2008-08-29,0.01198963894445211,122.36759279575,"ILMN, ROST, WDC, GILD, COST"
2008-08-29,2008-09-30,-0.10925371239316273,108.99847900619947,"ILMN, AMGN, QCOM, GILD, NFLX"
2008-09-30,2008-10-31,-0.17249569005155727,90.19671115545492,"AMGN, ROST, ILMN, NTES, QCOM"
2008-10-31,2008-11-28,-0.13057302746203908,78.41945351276809,"AMGN, ROST, ILMN, NTES, MDLZ"
2008-11-28,2008-12-31,0.07787330504341972,84.52623553750615,"AMGN, DLTR, ROST, TSCO, NTES"
2008-12-31,2009-01-30,-0.012488118853956018,83.47066186183629,"DLTR, AMGN, TSCO, NTES, NFLX"
2009-01-30,2009-02-27,-0.02265877394204565,81.57931900391601,"DLTR, AMGN, ORLY, TSCO, NTES"
2009-02-27,2009-03-31,0.09647089593054387,89.44934899762742,"DLTR, NFLX, ORLY, VRTX, MNST"
2009-03-31,2009-04-30,0.051512427875992646,94.0571021364222,"DLTR, VRTX, ORLY, NFLX, MNST"
2009-04-30,2009-05-29,-8.027689201058497e-05,94.04955152459117,"DLTR, ORLY, NTES, NFLX, TMUS"
2009-05-29,2009-06-30,0.012115786437399204,95.1890358053963,"NFLX, ORLY, NTES, VRTX, MNST"
2009-06-30,2009-07-31,0.10739324822950498,105.41169555637246,"NTES, ORLY, NFLX, AMZN, ROST"
2009-07-31,2009-08-31,0.0537967747093516,111.08250479394938,"NTES, ORLY, NFLX, BIDU, WDC"
2009-08-31,2009-09-30,0.08222692434061446,120.2164775112074,"NTES, SWKS, ORLY, BIDU, STX"
2009-09-30,2009-10-30,-0.05108037878887888,114.0757743032702,"EXPE, NTES, STX, MU, SBUX"
2009-10-30,2009-11-30,0.10889619652827913,126.49819224091472,"NTES, AAPL, EXPE, CTSH, ISRG"
2009-11-30,2009-12-31,0.07070517388786099,135.44226891980867,"CTSH, AAPL, AMZN, NFLX, EXPE"
2009-12-31,2010-01-29,-0.047259965212666996,129.04127200233384,"AMZN, BIDU, CTSH, WDC, INCY"
2010-01-29,2010-02-26,0.050695841837659836,135.5831279182946,"WDC, CTSH, MU, AAPL, INCY"
2010-02-26,2010-03-31,0.08406837093363896,146.9813806084728,"STX, ISRG, CTSH, AAPL, ULTA"
2010-03-31,2010-04-30,0.05979294288313772,155.76982990407993,"ISRG, STX, BIDU, CTSH, INCY"
2010-04-30,2010-05-28,-0.03368342367776172,150.52296872720794,"INCY, BIDU, ISRG, CTSH, AAPL"
2010-05-28,2010-06-30,-0.05282294896475856,142.5719016321067,"INCY, BIDU, AAPL, NFLX, ISRG"
2010-06-30,2010-07-30,0.055426658635467196,150.47418575487887,"BIDU, NFLX, INCY, AAPL, ULTA"
2010-07-30,2010-08-31,-0.032290227125950796,145.61534012026132,"NFLX, BIDU, INCY, AKAM, AAPL"
2010-08-31,2010-09-30,0.16300172016503903,169.35089104228115,"BIDU, NTAP, NFLX, AKAM, AAPL"
2010-09-30,2010-10-29,0.05984715277558286,179.48605969116963,"AKAM, NFLX, BIDU, INTU, NTAP"
2010-10-29,2010-11-30,0.03284150120029127,185.3806513359527,"NFLX, BIDU, AKAM, NTAP, TSCO"
2010-11-30,2010-12-31,0.04193633432221005,193.15483630724628,"NFLX, BIDU, NTAP, SWKS, AKAM"
2010-12-31,2011-01-31,0.029168191169562725,198.78881349798164,"NFLX, ILMN, SWKS, DLTR, CHKP"
2011-01-31,2011-02-28,0.038517731295212895,206.4457076007911,"CHKP, TSCO, SWKS, NFLX, ILMN"
2011-02-28,2011-03-31,0.022620365523987683,211.11558496757928,"SWKS, NFLX, NVDA, TSCO, ILMN"
2011-03-31,2011-04-29,0.04512511625634532,220.64220028276765,"SWKS, CHTR, ILMN, TSCO, TMUS"
2011-04-29,2011-05-31,0.012119507743850962,223.31627513771497,"TSCO, CHTR, TMUS, SWKS, NFLX"
2011-05-31,2011-06-30,-0.00043272113642839685,223.2196414653544,"CHTR, TSCO, BIIB, ULTA, TMUS"
2011-06-30,2011-07-29,-0.03032606509959573,216.45026808676766,"CHTR, MNST, SIRI, TSCO, BIIB"
2011-07-29,2011-08-31,-0.05177222828458682,205.24415539511952,"BIIB, ULTA, MNST, TSCO, CHKP"
2011-08-31,2011-09-30,-0.05568198402751351,193.81575361266798,"ULTA, BIIB, MNST, DLTR, CHKP"
2011-09-30,2011-10-31,0.07741952983794416,208.82087813254753,"ULTA, MNST, DLTR, BIIB, REGN"
2011-10-31,2011-11-30,0.018617125579702142,212.70852264440484,"MNST, DLTR, ULTA, BIIB, ROST"
2011-11-30,2011-12-30,-0.004554714143907707,211.73969612778666,"DLTR, MNST, BIIB, ULTA, ORLY"
2011-12-30,2012-01-31,0.08363177393661637,229.44786252775356,"DLTR, FAST, ULTA, ORLY, BIIB"
2012-01-31,2012-02-29,0.06795724917384108,245.04050809395736,"ROST, ISRG, DLTR, ORLY, GRMN"
2012-02-29,2012-03-30,0.05975704714369917,259.683405288244,"ORLY, DLTR, ROST, FAST, REGN"
2012-03-30,2012-04-30,0.03666286466350601,269.20414283168526,"FAST, DLTR, ORLY, REGN, ROST"
2012-04-30,2012-05-31,-0.04064426458288477,258.26253842362553,"STX, AAPL, ROST, FAST, ORLY"
2012-05-31,2012-06-29,-0.005769509347911416,256.77249029397507,"REGN, ORLY, ROST, DLTR, MNST"
2012-06-29,2012-07-31,0.016667197165337183,261.05216801633935,"REGN, ROST, MNST, AAPL, DLTR"
2012-07-31,2012-08-31,0.036698221510551694,270.63231830401276,"REGN, AAPL, ROST, DLTR, MNST"
2012-08-31,2012-09-28,0.00014329746902721,270.67109923026266,"ROST, SBAC, REGN, AMGN, AAPL"
2012-09-28,2012-10-31,-0.017583919061714477,265.9116405290524,"ROST, SBAC, AMGN, STX, AAPL"
2012-10-31,2012-11-30,0.0273708223569788,273.18986080462594,"SBAC, AMGN, CMCSA, REGN, STX"
2012-11-30,2012-12-31,0.0040203604636050334,274.28818252006266,"SBAC, BBBY, CMCSA, AMGN, CHTR"
2012-12-31,2013-01-31,0.030151167620697136,282.5582914876014,"SBAC, REGN, BBBY, CMCSA, AMGN"
2013-01-31,2013-02-28,0.019146614339960864,287.96832612327273,"SBAC, REGN, BBBY, CMCSA, SIRI"
2013-02-28,2013-03-28,0.07090177879938796,308.38579268329505,"SBAC, TRGP, CMCSA, BBBY, NFLX"
2013-03-28,2013-04-30,0.07204120524636407,330.602276869055,"GILD, SBAC, NFLX, TRGP, CMCSA"
2013-04-30,2013-05-31,0.037744610757618424,343.0807311250599,"GILD, NFLX, TRGP, AMGN, SBAC"
2013-05-31,2013-06-28,-0.005797277858051308,341.09179679898455,"NFLX, GILD, BIIB, BBBY, SBAC"
2013-06-28,2013-07-31,0.08025009235702009,368.464444994325,"TSLA, BIIB, GILD, NFLX, WDC"
2013-07-31,2013-08-30,-0.012877388942553471,363.71958502463093,"TSLA, BBBY, MU, CHTR, NFLX"
2013-08-30,2013-09-30,0.08261883248443065,393.76967249108753,"TSLA, BBBY, GILD, EA, CHTR"
2013-09-30,2013-10-31,0.018575889944015826,401.0842945905731,"TSLA, BBBY, NFLX, GILD, TRIP"
2013-10-31,2013-11-29,0.050912837188275016,421.5046339798371,"TSLA, NFLX, MU, TRIP, BBBY"
2013-11-29,2013-12-31,0.05911239096648403,446.420780697838,"TSLA, MU, HSIC, BIDU, SBUX"
2013-12-31,2014-01-31,0.020766307669048283,455.691291979666,"MU, INCY, NFLX, GILD, TRGP"
2014-01-31,2014-02-28,0.07926184557922596,491.8102247963563,"MU, INCY, NFLX, TRGP, FISV"
2014-02-28,2014-03-31,-0.04830051636131672,468.05553698691705,"INCY, ILMN, MU, TSLA, TRGP"
2014-03-31,2014-04-30,-0.020731741629845032,458.35193052568593,"ILMN, TSLA, MU, TRGP, INCY"
2014-04-30,2014-05-30,0.06672543292007439,488.93566151976415,"ILMN, WDC, TRGP, MU, AVGO"
2014-05-30,2014-06-30,0.05757895714733256,517.0880670222134,"TRGP, MU, SWKS, AVGO, MAR"
2014-06-30,2014-07-31,-0.03534652695213504,498.81079972458537,"TRGP, AVGO, SWKS, ILMN, MAR"
2014-07-31,2014-08-29,0.08914399995050858,543.276789630547,"TRGP, SWKS, MAR, ILMN, MU"
2014-08-29,2014-09-30,-0.01779414000689607,533.6096463733641,"SWKS, MAR, INTC, TRGP, MU"
2014-09-30,2014-10-31,0.04320686740735886,556.6652476115057,"MAR, INTC, SWKS, TRGP, AVGO"
2014-10-31,2014-11-28,0.05046261429639071,584.7560312939299,"MAR, SWKS, TRGP, INTC, AVGO"
