Start_Date,End_Date,Portfolio_Start,Portfolio_End,Portfolio_Return_Pct,Benchmark_Return_Pct,Top10,Changes,GILD_Pct,GILD_Ret,IONS_Pct,IONS_Ret,SCIO-200304_Pct,SCIO-200304_Ret,TKTX-200507_Pct,TKTX-200507_Ret,GNTA-201109_Pct,GNTA-201109_Ret,LGND_Pct,LGND_Ret,MBVXQ-202003_Pct,MBVXQ-202003_Ret,AMLN-201208_Pct,AMLN-201208_Ret,UTHR_Pct,UTHR_Ret,DDXSQ-202012_Pct,DDXSQ-202012_Ret,MDCO-202001_Pct,MDCO-202001_Ret,MOGN-200801_Pct,MOGN-200801_Ret,IMCL-200811_Pct,IMCL-200811_Ret,SCLN-201710_Pct,SCLN-201710_Ret,IDBE-200512_Pct,IDBE-200512_Ret,AVDL-202602_Pct,AVDL-202602_Ret,ONXX-201309_Pct,ONXX-201309_Ret,ENCY-200806_Pct,ENCY-200806_Ret,KERX-201812_Pct,KERX-201812_Ret,SCRX-200810_Pct,SCRX-200810_Ret,SEPR-200910_Pct,SEPR-200910_Ret,BSTE-200706_Pct,BSTE-200706_Ret,PHRM-200803_Pct,PHRM-200803_Ret,NTMD-200904_Pct,NTMD-200904_Ret,MYGN_Pct,MYGN_Ret,PDGI-200903_Pct,PDGI-200903_Ret,APPX-200809_Pct,APPX-200809_Ret,AFFX-201603_Pct,AFFX-201603_Ret,CELG-201911_Pct,CELG-201911_Ret,KOSP-200612_Pct,KOSP-200612_Ret,SVNTQ-201405_Pct,SVNTQ-201405_Ret,LIFC-200805_Pct,LIFC-200805_Ret,MYOG-200611_Pct,MYOG-200611_Ret,CBST-201501_Pct,CBST-201501_Ret,VRTX_Pct,VRTX_Ret,VPHM-201401_Pct,VPHM-201401_Ret,ADLR-201112_Pct,ADLR-201112_Ret,ILMN_Pct,ILMN_Ret,ASPV-200801_Pct,ASPV-200801_Ret,BIOV-200706_Pct,BIOV-200706_Ret,LMNX-202107_Pct,LMNX-202107_Ret,ALTH-201209_Pct,ALTH-201209_Ret,AUXL-201501_Pct,AUXL-201501_Ret,ACORQ-202408_Pct,ACORQ-202408_Ret,DNDNQ-201506_Pct,DNDNQ-201506_Ret,ONCT-202412_Pct,ONCT-202412_Ret,GNVC-201706_Pct,GNVC-201706_Ret,SGEN-202312_Pct,SGEN-202312_Ret,AXCA-200802_Pct,AXCA-200802_Ret,MDVN-201609_Pct,MDVN-201609_Ret,ALXN-202107_Pct,ALXN-202107_Ret,BIIB_Pct,BIIB_Ret,SGMOQ_Pct,SGMOQ_Ret,PRGO_Pct,PRGO_Ret,BMRN_Pct,BMRN_Ret,SQNM-201609_Pct,SQNM-201609_Ret,IDIX-201408_Pct,IDIX-201408_Ret,NPSP-201502_Pct,NPSP-201502_Ret,MITI-201203_Pct,MITI-201203_Ret,CVTX-200904_Pct,CVTX-200904_Ret,IMGN-202402_Pct,IMGN-202402_Ret,MNKD_Pct,MNKD_Ret,BCRX_Pct,BCRX_Ret,HGSI-201208_Pct,HGSI-201208_Ret,GYRE_Pct,GYRE_Ret,HITK-201404_Pct,HITK-201404_Ret,AMRX_Pct,AMRX_Ret,QCOR-201408_Pct,QCOR-201408_Ret,SLXP-201503_Pct,SLXP-201503_Ret,AKRXQ-202010_Pct,AKRXQ-202010_Ret,ENDPQ-202405_Pct,ENDPQ-202405_Ret,NBIX_Pct,NBIX_Ret,ASRT-202606_Pct,ASRT-202606_Ret,VRUS-201201_Pct,VRUS-201201_Ret,JAZZ_Pct,JAZZ_Ret,JNP-201808_Pct,JNP-201808_Ret,ARIA-201702_Pct,ARIA-201702_Ret,SPPI-202307_Pct,SPPI-202307_Ret,AFFY_Pct,AFFY_Ret,ARNA-202203_Pct,ARNA-202203_Ret,OMER_Pct,OMER_Ret,OREXQ-201905_Pct,OREXQ-201905_Ret,SRPT_Pct,SRPT_Ret,GRFS_Pct,GRFS_Ret,SNTS-201312_Pct,SNTS-201312_Ret,INFIQ_Pct,INFIQ_Ret,AEGR-201611_Pct,AEGR-201611_Ret,ASTX-201310_Pct,ASTX-201310_Ret,ACAD_Pct,ACAD_Ret,CLDX_Pct,CLDX_Ret,ALNY_Pct,ALNY_Ret,GERN_Pct,GERN_Ret,INCY_Pct,INCY_Ret,HZNP-202310_Pct,HZNP-202310_Ret,ITMN-201409_Pct,ITMN-201409_Ret,SHPG-201901_Pct,SHPG-201901_Ret,ACHN-202001_Pct,ACHN-202001_Ret,AVNR-201501_Pct,AVNR-201501_Ret,AGIO_Pct,AGIO_Ret,FOLD-202604_Pct,FOLD-202604_Ret,AMAG-202011_Pct,AMAG-202011_Ret,BLUE-202505_Pct,BLUE-202505_Ret,MLNTQ-202004_Pct,MLNTQ-202004_Ret,ANAC-201606_Pct,ANAC-201606_Ret,RDUS-202208_Pct,RDUS-202208_Ret,XAUUSD_Pct,XAUUSD_Ret,KYTH-201509_Pct,KYTH-201509_Ret,EXEL_Pct,EXEL_Ret,TVRD_Pct,TVRD_Ret,PRTA_Pct,PRTA_Ret,EGRX_Pct,EGRX_Ret,NGNE_Pct,NGNE_Ret,FPRX-202104_Pct,FPRX-202104_Ret,PACB_Pct,PACB_Ret,TRVN_Pct,TRVN_Ret,CBPO-202104_Pct,CBPO-202104_Ret,PRAH-202106_Pct,PRAH-202106_Ret,TBPH_Pct,TBPH_Ret,TSRO-201901_Pct,TSRO-201901_Ret,BPMC-202507_Pct,BPMC-202507_Ret,CLCD-201702_Pct,CLCD-201702_Ret,CLVSQ-202307_Pct,CLVSQ-202307_Ret,ARRY-201907_Pct,ARRY-201907_Ret,AVXS-201805_Pct,AVXS-201805_Ret,IMMU-202010_Pct,IMMU-202010_Ret,LOXO-201902_Pct,LOXO-201902_Ret,ESPR_Pct,ESPR_Ret,KITE-201710_Pct,KITE-201710_Ret,ONC_Pct,ONC_Ret,NKTR_Pct,NKTR_Ret,MRNS-202502_Pct,MRNS-202502_Ret,ANAB_Pct,ANAB_Ret,IOVA_Pct,IOVA_Ret,ECYT-201812_Pct,ECYT-201812_Ret,ENTA_Pct,ENTA_Ret,ARWR_Pct,ARWR_Ret,CRSP_Pct,CRSP_Ret,AMRN_Pct,AMRN_Ret,PRQR_Pct,PRQR_Ret,NSTGQ-202406_Pct,NSTGQ-202406_Ret,VCYT_Pct,VCYT_Ret,RARX-202004_Pct,RARX-202004_Ret,QURE_Pct,QURE_Ret,ADVM-202512_Pct,ADVM-202512_Ret,EIDX-202101_Pct,EIDX-202101_Ret,NVCR_Pct,NVCR_Ret,LKFT_Pct,LKFT_Ret,RETA-202309_Pct,RETA-202309_Ret,AXSM_Pct,AXSM_Ret,KOD_Pct,KOD_Ret,MNTA-202009_Pct,MNTA-202009_Ret,CGEN_Pct,CGEN_Ret,CCXI-202210_Pct,CCXI-202210_Ret,INO_Pct,INO_Ret,MRNA_Pct,MRNA_Ret,MCRB_Pct,MCRB_Ret,MYOK-202011_Pct,MYOK-202011_Ret,TWST_Pct,TWST_Ret,NVAX_Pct,NVAX_Ret,AFMDQ_Pct,AFMDQ_Ret,RUBY-202312_Pct,RUBY-202312_Ret,BNTX_Pct,BNTX_Ret,ISEE-202307_Pct,ISEE-202307_Ret,KZR-202605_Pct,KZR-202605_Ret,TCDAQ-202306_Pct,TCDAQ-202306_Ret,AMPH_Pct,AMPH_Ret,BLU-202306_Pct,BLU-202306_Ret,KRTX-202403_Pct,KRTX-202403_Ret,SIGA_Pct,SIGA_Ret,GBT-202210_Pct,GBT-202210_Ret,AKRO-202512_Pct,AKRO-202512_Ret,AKUS-202211_Pct,AKUS-202211_Ret,RYTM_Pct,RYTM_Ret,VRNA-202510_Pct,VRNA-202510_Ret,IMVT_Pct,IMVT_Ret,ARDX_Pct,ARDX_Ret,ETNB-202510_Pct,ETNB-202510_Ret,CBAY-202403_Pct,CBAY-202403_Ret,RXDX-202306_Pct,RXDX-202306_Ret,TERN-202605_Pct,TERN-202605_Ret,PTGX_Pct,PTGX_Ret,BBIO_Pct,BBIO_Ret,AMAM-202403_Pct,AMAM-202403_Ret,FUSN-202406_Pct,FUSN-202406_Ret,VERA_Pct,VERA_Ret,ALPN-202405_Pct,ALPN-202405_Ret,RNAM-202602_Pct,RNAM-202602_Ret,ADMA_Pct,ADMA_Ret,DYN_Pct,DYN_Ret,SMMT_Pct,SMMT_Ret,MESO_Pct,MESO_Ret,TECX_Pct,TECX_Ret,TVTX_Pct,TVTX_Ret,GH_Pct,GH_Ret,TRVI_Pct,TRVI_Ret,XERS_Pct,XERS_Ret,CRMD_Pct,CRMD_Ret,RPRX_Pct,RPRX_Ret,AMLX_Pct,AMLX_Ret,INDV_Pct,INDV_Ret,INBX_Pct,INBX_Ret,ABVX_Pct,ABVX_Ret,ERAS_Pct,ERAS_Ret,PRAX_Pct,PRAX_Ret,TNGX_Pct,TNGX_Ret,SYRE_Pct,SYRE_Ret
2002-01-31,2002-02-28,101075.26,94001.03,-7.0,-4.48,"GILD, SCIO-200304, IONS, TKTX-200507, GNTA-201109, NBIX, IMNX-200207, AFFX-201603, CEPH-201110, MBVXQ-202003","+GILD, +IONS, +SCIO-200304",33.33,7.7,33.33,-15.69,33.33,-13.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-28,2002-03-28,94925.8,102648.35,8.14,3.72,"GILD, TKTX-200507, IONS, GNTA-201109, MBVXQ-202003, IMNX-200207, NBIX, BIIB, SCIO-200304, MEDI-200706",SCIO-200304→TKTX-200507,33.33,2.16,33.33,9.61,,,33.33,12.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-28,2002-04-30,103805.75,89688.72,-13.6,-15.72,"TKTX-200507, GNTA-201109, IMMU-202010, MBVXQ-202003, GILD, SCIO-200304, NBIX, INSYQ-202002, IMNX-200207, MDCO-202001",IONS→GNTA-201109,33.33,-13.53,,,,,33.33,-7.41,33.33,-19.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-30,2002-05-31,90766.81,84192.29,-7.24,-10.97,"TKTX-200507, MBVXQ-202003, IMNX-200207, SCIO-200304, GEVA-201506, GNTA-201109, GILD, NBIX, MDCO-202001, UTHR",,33.33,14.59,,,,,33.33,-5.14,33.33,-31.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-31,2002-06-28,85314.23,76042.03,-10.87,-12.03,"LGND, GILD, GEVA-201506, MBVXQ-202003, IMNX-200207, TKTX-200507, UTHR, ARRY-201907, ATRX-200411, SCIO-200304",GNTA-201109→LGND,33.33,-7.8,,,,,33.33,-4.65,,,33.33,-20.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-06-28,2002-07-31,77001.35,80266.33,4.24,0.62,"MBVXQ-202003, SCIO-200304, UTHR, GILD, IMNX-200207, ATRX-200411, GEVA-201506, AMLN-201208, TKTX-200507, LGND","LGND→MBVXQ-202003, TKTX-200507→SCIO-200304",33.33,-7.33,,,33.33,2.45,,,,,,,33.33,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-07-31,2002-08-30,81347.62,75232.45,-7.52,-4.68,"SCIO-200304, AMLN-201208, MBVXQ-202003, GEVA-201506, UTHR, TKTX-200507, GILD, ARRY-201907, NBIX, TNOX-200708",,33.33,5.28,,,33.33,-23.28,,,,,,,33.33,-4.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-08-30,2002-09-30,76237.35,75865.48,-0.49,-4.99,"AMLN-201208, SCIO-200304, GEVA-201506, GILD, MBVXQ-202003, NBIX, TKTX-200507, UTHR, TNOX-200708, MDCO-202001",,33.33,4.52,,,33.33,5.78,,,,,,,33.33,-11.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-09-30,2002-10-31,76757.93,86007.6,12.05,10.0,"AMLN-201208, UTHR, MBVXQ-202003, GILD, NBIX, GEVA-201506, SCIO-200304, MDCO-202001, ITMN-201409, AFFX-201603",,33.33,3.61,,,33.33,13.4,,,,,,,33.33,19.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-10-31,2002-11-29,87000.0,87665.79,0.77,9.09,"AMLN-201208, MBVXQ-202003, UTHR, MDCO-202001, GEVA-201506, NBIX, ITMN-201409, CRXA-200507, SCIO-200304, AFFX-201603","GILD→AMLN-201208, SCIO-200304→UTHR",,,,,,,,,,,,,33.33,-12.47,33.33,-0.75,33.33,15.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
