Start_Date,End_Date,Portfolio_Start,Portfolio_End,Portfolio_Return_Pct,Leveraged_Return_Pct,VIX,VIX_Fast,Benchmark_Return_Pct,Top10,Changes,L_Pct,L_Ret,L_LevRet,MRK_Pct,MRK_Ret,MRK_LevRet,NKE_Pct,NKE_Ret,NKE_LevRet,LLY_Pct,LLY_Ret,LLY_LevRet,MO_Pct,MO_Ret,MO_LevRet,PHA-200304_Pct,PHA-200304_Ret,PHA-200304_LevRet,S-200503_Pct,S-200503_Ret,S-200503_LevRet,S-202003_Pct,S-202003_Ret,S-202003_LevRet,GE_Pct,GE_Ret,GE_LevRet,HFS-199712_Pct,HFS-199712_Ret,HFS-199712_LevRet,SWY-201501_Pct,SWY-201501_Ret,SWY-201501_LevRet,INTC_Pct,INTC_Ret,INTC_LevRet,STI-201912_Pct,STI-201912_Ret,STI-201912_LevRet,WLA-200006_Pct,WLA-200006_Ret,WLA-200006_LevRet,KRB-200512_Pct,KRB-200512_Ret,KRB-200512_LevRet,MSFT_Pct,MSFT_Ret,MSFT_LevRet,WB-200812_Pct,WB-200812_Ret,WB-200812_LevRet,TXT_Pct,TXT_Ret,TXT_LevRet,AMAT_Pct,AMAT_Ret,AMAT_LevRet,DELL-201310_Pct,DELL-201310_Ret,DELL-201310_LevRet,CPQ-200205_Pct,CPQ-200205_Ret,CPQ-200205_LevRet,BEN_Pct,BEN_Ret,BEN_LevRet,GAP_Pct,GAP_Ret,GAP_LevRet,FITB_Pct,FITB_Ret,FITB_LevRet,T-200511_Pct,T-200511_Ret,T-200511_LevRet,TCOMA-199903_Pct,TCOMA-199903_Ret,TCOMA-199903_LevRet,HD_Pct,HD_Ret,HD_LevRet,F_Pct,F_Ret,F_LevRet,LU-200611_Pct,LU-200611_Ret,LU-200611_LevRet,TWX-201806_Pct,TWX-201806_Ret,TWX-201806_LevRet,UMG-200006_Pct,UMG-200006_Ret,UMG-200006_LevRet,WMT_Pct,WMT_Ret,WMT_LevRet,EMC-201609_Pct,EMC-201609_Ret,EMC-201609_LevRet,XAUUSD_Pct,XAUUSD_Ret,XAUUSD_LevRet,AMGN_Pct,AMGN_Ret,AMGN_LevRet,JAVA-201001_Pct,JAVA-201001_Ret,JAVA-201001_LevRet,QCOM_Pct,QCOM_Ret,QCOM_LevRet,TXN_Pct,TXN_Ret,TXN_LevRet,CAH_Pct,CAH_Ret,CAH_LevRet,WAMUQ-201203_Pct,WAMUQ-201203_Ret,WAMUQ-201203_LevRet,LOW_Pct,LOW_Ret,LOW_LevRet,CE-200402_Pct,CE-200402_Ret,CE-200402_LevRet,THC_Pct,THC_Ret,THC_LevRet,SO_Pct,SO_Ret,SO_LevRet,GIS_Pct,GIS_Ret,GIS_LevRet,LMT_Pct,LMT_Ret,LMT_LevRet,PG_Pct,PG_Ret,PG_LevRet,UNH_Pct,UNH_Ret,UNH_LevRet,BSX_Pct,BSX_Ret,BSX_LevRet,TRB-200712_Pct,TRB-200712_Ret,TRB-200712_LevRet,FRX-201406_Pct,FRX-201406_Ret,FRX-201406_LevRet,SLM_Pct,SLM_Ret,SLM_LevRet,DNA-200903_Pct,DNA-200903_Ret,DNA-200903_LevRet,EBAY_Pct,EBAY_Ret,EBAY_LevRet,AABA-201910_Pct,AABA-201910_Ret,AABA-201910_LevRet,AMZN_Pct,AMZN_Ret,AMZN_LevRet,BBY_Pct,BBY_Ret,BBY_LevRet,CAT_Pct,CAT_Ret,CAT_LevRet,MSI_Pct,MSI_Ret,MSI_LevRet,OXY_Pct,OXY_Ret,OXY_LevRet,MAS_Pct,MAS_Ret,MAS_LevRet,SBUX_Pct,SBUX_Ret,SBUX_LevRet,SYK_Pct,SYK_Ret,SYK_LevRet,ZBH_Pct,ZBH_Ret,ZBH_LevRet,CFC-200806_Pct,CFC-200806_Ret,CFC-200806_LevRet,BR-200603_Pct,BR-200603_Ret,BR-200603_LevRet,CVX_Pct,CVX_Ret,CVX_LevRet,AET-201811_Pct,AET-201811_Ret,AET-201811_LevRet,EXC_Pct,EXC_Ret,EXC_LevRet,COP_Pct,COP_Ret,COP_LevRet,XOM_Pct,XOM_Ret,XOM_LevRet,DUK_Pct,DUK_Ret,DUK_LevRet,PRU_Pct,PRU_Ret,PRU_LevRet,TXU-200710_Pct,TXU-200710_Ret,TXU-200710_LevRet,VLO_Pct,VLO_Ret,VLO_LevRet,GOOGL_Pct,GOOGL_Ret,GOOGL_LevRet,ELV_Pct,ELV_Ret,ELV_LevRet,LEHMQ-201203_Pct,LEHMQ-201203_Ret,LEHMQ-201203_LevRet,AAPL_Pct,AAPL_Ret,AAPL_LevRet,BNI-201002_Pct,BNI-201002_Ret,BNI-201002_LevRet,GLW_Pct,GLW_Ret,GLW_LevRet,BLS-200612_Pct,BLS-200612_Ret,BLS-200612_LevRet,BKR_Pct,BKR_Ret,BKR_LevRet,ADM_Pct,ADM_Ret,ADM_LevRet,RAI-201707_Pct,RAI-201707_Ret,RAI-201707_LevRet,T_Pct,T_Ret,T_LevRet,CMCSA_Pct,CMCSA_Ret,CMCSA_LevRet,DTV-201507_Pct,DTV-201507_Ret,DTV-201507_LevRet,NEE_Pct,NEE_Ret,NEE_LevRet,SGP-200911_Pct,SGP-200911_Ret,SGP-200911_LevRet,SCCO_Pct,SCCO_Ret,SCCO_LevRet,HON_Pct,HON_Ret,HON_LevRet,MHS-201203_Pct,MHS-201203_Ret,MHS-201203_LevRet,MON-201806_Pct,MON-201806_Ret,MON-201806_LevRet,DE_Pct,DE_Ret,DE_LevRet,APA_Pct,APA_Ret,APA_LevRet,EOG_Pct,EOG_Ret,EOG_LevRet,MOS_Pct,MOS_Ret,MOS_LevRet,BUD-200811_Pct,BUD-200811_Ret,BUD-200811_LevRet,FSLR_Pct,FSLR_Ret,FSLR_LevRet,COV-201501_Pct,COV-201501_Ret,COV-201501_LevRet,LSTZA-201111_Pct,LSTZA-201111_Ret,LSTZA-201111_LevRet,VMW-202311_Pct,VMW-202311_Ret,VMW-202311_LevRet,LVS_Pct,LVS_Ret,LVS_LevRet,CTSH_Pct,CTSH_Ret,CTSH_LevRet,MRO-202411_Pct,MRO-202411_Ret,MRO-202411_LevRet,NOV_Pct,NOV_Ret,NOV_LevRet,BIIB_Pct,BIIB_Ret,BIIB_LevRet,BKNG_Pct,BKNG_Ret,BKNG_LevRet,LYB_Pct,LYB_Ret,LYB_LevRet,MCD_Pct,MCD_Ret,MCD_LevRet,PM_Pct,PM_Ret,PM_LevRet,BMY_Pct,BMY_Ret,BMY_LevRet,TJX_Pct,TJX_Ret,TJX_LevRet,ALL_Pct,ALL_Ret,ALL_LevRet,GILD_Pct,GILD_Ret,GILD_LevRet,TRV_Pct,TRV_Ret,TRV_LevRet,JNJ_Pct,JNJ_Ret,JNJ_LevRet,CME_Pct,CME_Ret,CME_LevRet,STT_Pct,STT_Ret,STT_LevRet,NOC_Pct,NOC_Ret,NOC_LevRet,RTN-202004_Pct,RTN-202004_Ret,RTN-202004_LevRet,BA_Pct,BA_Ret,BA_LevRet,MCK_Pct,MCK_Ret,MCK_LevRet,GD_Pct,GD_Ret,GD_LevRet,WMB_Pct,WMB_Ret,WMB_LevRet,HAL_Pct,HAL_Ret,HAL_LevRet,MU_Pct,MU_Ret,MU_LevRet,AGN-201503_Pct,AGN-201503_Ret,AGN-201503_LevRet,UNP_Pct,UNP_Ret,UNP_LevRet,EQR_Pct,EQR_Ret,EQR_LevRet,CVS_Pct,CVS_Ret,CVS_LevRet,CI_Pct,CI_Ret,CI_LevRet,KR_Pct,KR_Ret,KR_LevRet,PSA_Pct,PSA_Ret,PSA_LevRet,TWC-201605_Pct,TWC-201605_Ret,TWC-201605_LevRet,WM_Pct,WM_Ret,WM_LevRet,SYY_Pct,SYY_Ret,SYY_LevRet,ITW_Pct,ITW_Ret,ITW_LevRet,SE-201702_Pct,SE-201702_Ret,SE-201702_LevRet,CSX_Pct,CSX_Ret,CSX_LevRet,BAC_Pct,BAC_Ret,BAC_LevRet,NVDA_Pct,NVDA_Ret,NVDA_LevRet,MAR_Pct,MAR_Ret,MAR_LevRet,ISRG_Pct,ISRG_Ret,ISRG_LevRet,PYPL_Pct,PYPL_Ret,PYPL_LevRet,ABBV_Pct,ABBV_Ret,ABBV_LevRet,EL_Pct,EL_Ret,EL_LevRet,MA_Pct,MA_Ret,MA_LevRet,NFLX_Pct,NFLX_Ret,NFLX_LevRet,INTU_Pct,INTU_Ret,INTU_LevRet,ZEN-202211_Pct,ZEN-202211_Ret,ZEN-202211_LevRet,HCA_Pct,HCA_Ret,HCA_LevRet,TFCF-201903_Pct,TFCF-201903_Ret,TFCF-201903_LevRet,TFCFA-201903_Pct,TFCFA-201903_Ret,TFCFA-201903_LevRet,AMT_Pct,AMT_Ret,AMT_LevRet,XLNX-202202_Pct,XLNX-202202_Ret,XLNX-202202_LevRet,VEEV_Pct,VEEV_Ret,VEEV_LevRet,YUM_Pct,YUM_Ret,YUM_LevRet,TGT_Pct,TGT_Ret,TGT_LevRet,TSLA_Pct,TSLA_Ret,TSLA_LevRet,REGN_Pct,REGN_Ret,REGN_LevRet,VRTX_Pct,VRTX_Ret,VRTX_LevRet,ZM_Pct,ZM_Ret,ZM_LevRet,XYZ_Pct,XYZ_Ret,XYZ_LevRet,COF_Pct,COF_Ret,COF_LevRet,FDX_Pct,FDX_Ret,FDX_LevRet,FCX_Pct,FCX_Ret,FCX_LevRet,BX_Pct,BX_Ret,BX_LevRet,MRNA_Pct,MRNA_Ret,MRNA_LevRet,GS_Pct,GS_Ret,GS_LevRet,ACN_Pct,ACN_Ret,ACN_LevRet,PLD_Pct,PLD_Ret,PLD_LevRet,MPC_Pct,MPC_Ret,MPC_LevRet,ORCL_Pct,ORCL_Ret,ORCL_LevRet,META_Pct,META_Ret,META_LevRet,AVGO_Pct,AVGO_Ret,AVGO_LevRet,ETN_Pct,ETN_Ret,ETN_LevRet,COST_Pct,COST_Ret,COST_LevRet,PGR_Pct,PGR_Ret,PGR_LevRet,KKR_Pct,KKR_Ret,KKR_LevRet,TMUS_Pct,TMUS_Ret,TMUS_LevRet,SPOT_Pct,SPOT_Ret,SPOT_LevRet,WELL_Pct,WELL_Ret,WELL_LevRet,GEV_Pct,GEV_Ret,GEV_LevRet,PLTR_Pct,PLTR_Ret,PLTR_LevRet,APP_Pct,APP_Ret,APP_LevRet,APH_Pct,APH_Ret,APH_LevRet,GOOG_Pct,GOOG_Ret,GOOG_LevRet,NEM_Pct,NEM_Ret,NEM_LevRet,LRCX_Pct,LRCX_Ret,LRCX_LevRet,SNDK_Pct,SNDK_Ret,SNDK_LevRet,WDC_Pct,WDC_Ret,WDC_LevRet
1996-01-31,1996-02-29,101032.57,97846.18,-3.15,-3.16,12.5,False,0.59,"L, MRK, NKE, CI, CNA, PNU-200003, FNMA, BMY, JNJ, MO","+L, +MRK, +NKE",33.33,2.87,2.87,33.33,-5.53,-5.53,33.33,-6.81,-6.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-02-29,1996-03-29,98896.78,94133.49,-4.82,-4.82,17.0,False,0.47,"L, LLY, MO, PHA-200304, CSCO, PNU-200003, RPR-199711, RTN-202004, CMB-199603, RTX","MRK→LLY, NKE→MO",33.33,-11.18,-11.18,,,,,,,33.33,7.22,7.22,33.33,-10.49,-10.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-03-29,1996-04-30,95142.4,94302.27,-0.88,-0.88,18.9,False,0.78,"PHA-200304, NKE, RTX, S-200503, RTN-202004, LLY, AEP, USB-200102, WFC-199811, TXU-200710","L→NKE, MO→PHA-200304",,,,,,,33.33,7.69,7.69,33.33,-9.04,-9.04,,,,33.33,-1.3,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-04-30,1996-05-31,95246.62,100859.54,5.89,5.89,15.8,False,2.55,"NKE, PHA-200304, S-200503, RTX, TXT, S-202003, USB-200102, CSCO, GE, RTN-202004",LLY→S-200503,,,,,,,33.33,14.71,14.71,,,,,,,33.33,0.75,0.75,33.33,2.21,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-05-31,1996-06-28,101829.71,104959.82,3.07,3.08,16.1,False,0.69,"NKE, PHA-200304, S-202003, CSCO, GE, KO, USB-200102, RPR-199711, C-199811, RTN-202004",S-200503→S-202003,,,,,,,33.33,2.52,2.52,,,,,,,33.33,7.0,7.0,,,,33.33,-0.29,-0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-06-28,1996-07-31,105988.65,103018.71,-2.8,-2.8,13.7,False,-4.39,"NKE, PHA-200304, GE, RPR-199711, KO, WYE-200910, RTX, PEP, CSCO, S-202003",S-202003→GE,,,,,,,33.33,0.12,0.12,,,,,,,33.33,-3.85,-3.85,,,,,,,33.33,-4.68,-4.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-07-31,1996-08-30,104000.81,105896.36,1.82,1.82,19.5,False,1.59,"NKE, HFS-199712, SWY-201501, SCI, BAC, USB-200102, WYE-200910, RPR-199711, PHA-200304, KO","GE→HFS-199712, PHA-200304→SWY-201501",,,,,,,33.33,4.98,4.98,,,,,,,,,,,,,,,,,,,33.33,-0.21,-0.21,33.33,0.69,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-08-30,1996-09-30,106772.59,121854.15,14.12,14.13,17.0,False,5.75,"NKE, HFS-199712, GAP, KO, SCI, BAC, SWY-201501, ASND-199906, RPR-199711, WYE-200910",,,,,,,,33.33,12.89,12.89,,,,,,,,,,,,,,,,,,,33.33,11.9,11.9,33.33,17.59,17.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-09-30,1996-10-31,122831.22,125713.71,2.35,2.35,17.0,False,2.69,"NKE, SWY-201501, HFS-199712, RPR-199711, CPB, TX-200110, ASND-199906, CA-201811, SCI, WYE-200910",,,,,,,,33.33,-2.87,-2.87,,,,,,,,,,,,,,,,,,,33.33,9.33,9.33,33.33,0.59,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-10-31,1996-11-29,126787.66,118057.32,-6.89,-6.89,18.1,False,7.73,"NKE, PHA-200304, HFS-199712, CPB, SWY-201501, GE, BMY, TX-200110, STI-201912, DD-201708",,,,,,,,33.33,-3.81,-3.81,,,,,,,,,,,,,,,,,,,33.33,-11.6,-11.6,33.33,-5.25,-5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
