Start_Date,End_Date,Portfolio_Start,Portfolio_End,Portfolio_Return_Pct,Leveraged_Return_Pct,VIX,VIX_Fast,Benchmark_Return_Pct,Top10,Changes,ETR_Pct,ETR_Ret,ETR_LevRet,MKG-200010_Pct,MKG-200010_Ret,MKG-200010_LevRet,RTN-202004_Pct,RTN-202004_Ret,RTN-202004_LevRet,BMY_Pct,BMY_Ret,BMY_LevRet,IBM_Pct,IBM_Ret,IBM_LevRet,JNJ_Pct,JNJ_Ret,JNJ_LevRet,MER-200812_Pct,MER-200812_Ret,MER-200812_LevRet,MRK_Pct,MRK_Ret,MRK_LevRet,NRTLQ-201510_Pct,NRTLQ-201510_Ret,NRTLQ-201510_LevRet,NSC_Pct,NSC_Ret,NSC_LevRet,KO_Pct,KO_Ret,KO_LevRet,GD_Pct,GD_Ret,GD_LevRet,HPQ_Pct,HPQ_Ret,HPQ_LevRet,CCI-199810_Pct,CCI-199810_Ret,CCI-199810_LevRet,UIS_Pct,UIS_Ret,UIS_LevRet,SO_Pct,SO_Ret,SO_LevRet,NSM-201109_Pct,NSM-201109_Ret,NSM-201109_LevRet,AIG_Pct,AIG_Ret,AIG_LevRet,HET-200801_Pct,HET-200801_Ret,HET-200801_LevRet,T-200511_Pct,T-200511_Ret,T-200511_LevRet,WMB_Pct,WMB_Ret,WMB_LevRet,S-200503_Pct,S-200503_Ret,S-200503_LevRet,PHA-200304_Pct,PHA-200304_Ret,PHA-200304_LevRet,CCB-199602_Pct,CCB-199602_Ret,CCB-199602_LevRet,DXC_Pct,DXC_Ret,DXC_LevRet,XRX_Pct,XRX_Ret,XRX_LevRet,BC_Pct,BC_Ret,BC_LevRet,CEN-200711_Pct,CEN-200711_Ret,CEN-200711_LevRet,CHA-200006_Pct,CHA-200006_Ret,CHA-200006_LevRet,AMP-199904_Pct,AMP-199904_Ret,AMP-199904_LevRet,TEK-200711_Pct,TEK-200711_Ret,TEK-200711_LevRet,INTC_Pct,INTC_Ret,INTC_LevRet,OMX-201311_Pct,OMX-201311_Ret,OMX-201311_LevRet,TXN_Pct,TXN_Ret,TXN_LevRet,UCM-200010_Pct,UCM-200010_Ret,UCM-200010_LevRet,CI_Pct,CI_Ret,CI_LevRet,PNU-200003_Pct,PNU-200003_Ret,PNU-200003_LevRet,RTX_Pct,RTX_Ret,RTX_LevRet,ATI_Pct,ATI_Ret,ATI_LevRet,GE_Pct,GE_Ret,GE_LevRet,BAC-199809_Pct,BAC-199809_Ret,BAC-199809_LevRet,XAUUSD_Pct,XAUUSD_Ret,XAUUSD_LevRet,LEHMQ-201203_Pct,LEHMQ-201203_Ret,LEHMQ-201203_LevRet,SLB_Pct,SLB_Ret,SLB_LevRet,BKR_Pct,BKR_Ret,BKR_LevRet,CPB_Pct,CPB_Ret,CPB_LevRet,BAC_Pct,BAC_Ret,BAC_LevRet,AEP_Pct,AEP_Ret,AEP_LevRet,TWX-201806_Pct,TWX-201806_Ret,TWX-201806_LevRet,T_Pct,T_Ret,T_LevRet,AAPL_Pct,AAPL_Ret,AAPL_LevRet,CVX_Pct,CVX_Ret,CVX_LevRet,EMC-201609_Pct,EMC-201609_Ret,EMC-201609_LevRet,GOOGL_Pct,GOOGL_Ret,GOOGL_LevRet,BAX_Pct,BAX_Ret,BAX_LevRet,CL_Pct,CL_Ret,CL_LevRet,WMT_Pct,WMT_Ret,WMT_LevRet,HAL_Pct,HAL_Ret,HAL_LevRet,NOV_Pct,NOV_Ret,NOV_LevRet,BUD-200811_Pct,BUD-200811_Ret,BUD-200811_LevRet,COV-201501_Pct,COV-201501_Ret,COV-201501_LevRet,AMGN_Pct,AMGN_Ret,AMGN_LevRet,MCD_Pct,MCD_Ret,MCD_LevRet,SGP-200911_Pct,SGP-200911_Ret,SGP-200911_LevRet,AMZN_Pct,AMZN_Ret,AMZN_LevRet,F_Pct,F_Ret,F_LevRet,DOW-201708_Pct,DOW-201708_Ret,DOW-201708_LevRet,HSH-201408_Pct,HSH-201408_Ret,HSH-201408_LevRet,BA_Pct,BA_Ret,BA_LevRet,MO_Pct,MO_Ret,MO_LevRet,BRK.B_Pct,BRK.B_Ret,BRK.B_LevRet,VZ_Pct,VZ_Ret,VZ_LevRet,CAT_Pct,CAT_Ret,CAT_LevRet,COP_Pct,COP_Ret,COP_LevRet,PM_Pct,PM_Ret,PM_LevRet,UNH_Pct,UNH_Ret,UNH_LevRet,MA_Pct,MA_Ret,MA_LevRet,HD_Pct,HD_Ret,HD_LevRet,ALL_Pct,ALL_Ret,ALL_LevRet,CMCSA_Pct,CMCSA_Ret,CMCSA_LevRet,GILD_Pct,GILD_Ret,GILD_LevRet,LLY_Pct,LLY_Ret,LLY_LevRet,LMT_Pct,LMT_Ret,LMT_LevRet,META_Pct,META_Ret,META_LevRet,CVS_Pct,CVS_Ret,CVS_LevRet,LOW_Pct,LOW_Ret,LOW_LevRet,SBUX_Pct,SBUX_Ret,SBUX_LevRet,DIS_Pct,DIS_Ret,DIS_LevRet,NKE_Pct,NKE_Ret,NKE_LevRet,GS_Pct,GS_Ret,GS_LevRet,PYPL_Pct,PYPL_Ret,PYPL_LevRet,ABBV_Pct,ABBV_Ret,ABBV_LevRet,NFLX_Pct,NFLX_Ret,NFLX_LevRet,TFCF-201903_Pct,TFCF-201903_Ret,TFCF-201903_LevRet,TFCFA-201903_Pct,TFCFA-201903_Ret,TFCFA-201903_LevRet,EXC_Pct,EXC_Ret,EXC_LevRet,DHR_Pct,DHR_Ret,DHR_LevRet,MDLZ_Pct,MDLZ_Ret,MDLZ_LevRet,PG_Pct,PG_Ret,PG_LevRet,NEE_Pct,NEE_Ret,NEE_LevRet,TGT_Pct,TGT_Ret,TGT_LevRet,NVDA_Pct,NVDA_Ret,NVDA_LevRet,FDX_Pct,FDX_Ret,FDX_LevRet,TSLA_Pct,TSLA_Ret,TSLA_LevRet,COF_Pct,COF_Ret,COF_LevRet,MS_Pct,MS_Ret,MS_LevRet,XOM_Pct,XOM_Ret,XOM_LevRet,AVGO_Pct,AVGO_Ret,AVGO_LevRet,PLTR_Pct,PLTR_Ret,PLTR_LevRet,TMUS_Pct,TMUS_Ret,TMUS_LevRet,BNY_Pct,BNY_Ret,BNY_LevRet,ORCL_Pct,ORCL_Ret,ORCL_LevRet,AMD_Pct,AMD_Ret,AMD_LevRet,GOOG_Pct,GOOG_Ret,GOOG_LevRet,LRCX_Pct,LRCX_Ret,LRCX_LevRet,MU_Pct,MU_Ret,MU_LevRet
1991-01-31,1991-02-28,112975.55,115807.16,2.51,2.51,20.9,False,6.83,"MKG-200010, RTN-202004, ETR, IBM, BMY, SKY, JNJ, KO, PEP, AIT-199910","+ETR, +MKG-200010, +RTN-202004",33.33,3.54,3.54,33.33,3.31,3.31,33.33,0.67,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-02-28,1991-03-28,116776.95,120414.73,3.12,3.12,21.2,False,2.11,"MKG-200010, IBM, BMY, JNJ, PEP, IFF, UCM-200010, MRK, KO, WMT","ETR→BMY, RTN-202004→IBM",,,,33.33,16.22,16.22,,,,33.33,4.68,4.68,33.33,-11.55,-11.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-03-28,1991-04-30,121440.96,118336.29,-2.56,-2.55,16.9,False,-0.01,"MKG-200010, JNJ, MRK, BMY, TEK-200711, DXC, PEP, MER-200812, KO, HON-199912",IBM→JNJ,,,,33.33,-3.14,-3.14,,,,33.33,-3.09,-3.09,,,,33.33,-1.43,-1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-04-30,1991-05-31,119310.59,122457.53,2.64,2.64,18.2,False,4.14,"MER-200812, MKG-200010, DXC, JNJ, TEK-200711, BAX, NCR-199109, HON-199912, MRK, AVP-202001",BMY→MER-200812,,,,33.33,2.99,2.99,,,,,,,,,,33.33,-3.68,-3.68,33.33,8.61,8.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-05-31,1991-06-28,123526.83,115521.36,-6.48,-6.48,15.9,False,-4.6,"MER-200812, MRK, JNJ, MKG-200010, NRTLQ-201510, NCR-199109, DXC, KM-200212, BAX, BMY",,,,,33.33,-5.18,-5.18,,,,,,,,,,33.33,-7.86,-7.86,33.33,-6.4,-6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-06-28,1991-07-31,116408.67,131192.64,12.7,12.7,19.6,False,4.8,"MER-200812, MRK, KM-200212, PHA-200304, TEK-200711, IP, MKG-200010, DXC, HON-199912, NRTLQ-201510",JNJ→MRK,,,,33.33,19.07,19.07,,,,,,,,,,,,,33.33,8.16,8.16,33.33,10.87,10.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-07-31,1991-08-30,132192.71,132183.98,-0.01,-0.01,15.2,False,0.92,"NRTLQ-201510, MER-200812, MKG-200010, PHA-200304, KM-200212, DXC, TEK-200711, MRK, S-200503, WMT",MRK→NRTLQ-201510,,,,33.33,-2.35,-2.35,,,,,,,,,,,,,33.33,1.82,1.82,,,,33.33,0.51,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-08-30,1991-09-30,133128.98,140876.57,5.82,5.82,14.5,False,-2.54,"MKG-200010, TEK-200711, NRTLQ-201510, MER-200812, PHA-200304, BAC-199809, MRK, KM-200212, WMT, KO",,,,,33.33,4.15,4.15,,,,,,,,,,,,,33.33,14.88,14.88,,,,33.33,-1.57,-1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-09-30,1991-10-31,141813.06,151429.67,6.78,6.78,15.8,False,1.12,"MER-200812, NRTLQ-201510, MRK, MKG-200010, WMT, KO, NSC, AVP-202001, PHA-200304, BAC-199809",,,,,33.33,6.4,6.4,,,,,,,,,,,,,33.33,7.25,7.25,,,,33.33,6.69,6.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-10-31,1991-11-29,152501.67,142259.59,-6.72,-6.72,15.5,False,-4.37,"NSC, MRK, MKG-200010, MER-200812, NRTLQ-201510, XRX, IP, GD, ETR, KO",,,,,33.33,-17.53,-17.53,,,,,,,,,,,,,33.33,-6.8,-6.8,,,,33.33,4.18,4.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
