Date,BRKB,SPY,GLD,QQQ,Balanced
2004-11-01,10000.0,10000.000000000002,10000.0,10000.0,10000.0
2004-12-01,10561.151588526433,10324.582128432052,9707.446869221572,10283.165658315836,10219.086561123975
2005-01-01,10769.784660333446,10063.46862025765,9357.269995604474,10100.098915133976,10072.655547832386
2005-02-01,10845.323901425476,10253.701850876041,9647.606340818353,10311.225513298788,10264.464401604666
2005-03-01,10273.381384798266,10057.67511067309,9490.248383974314,10082.99771177416,9976.075647804957
2005-04-01,10064.748312991254,9855.429525143323,9607.712655216204,9932.951522137238,9865.210503872006
2005-05-01,10107.914083684305,10150.619809851005,9230.940273016335,10253.041898237429,9935.629016197268
2005-06-01,10012.589873515339,10149.171172469692,9627.65949801728,10227.29465807185,10012.363304549259
2005-07-01,10007.19440946495,10514.219473035015,9490.248383974314,10661.463749256642,10168.573332231801
2005-08-01,9985.611867166748,10396.227802335978,9618.794892127004,10561.518108718732,10144.773563178962
2005-09-01,9823.741084688614,10468.471442136713,10350.177719073072,10601.151641691424,10329.079764554312
2005-10-01,10125.899421250033,10282.752594054056,10283.688524888152,10394.48639466242,10289.927408511381
2005-11-01,10629.496420153513,10644.562519310399,10882.092118008406,10851.347837994343,10773.918352543526
2005-12-01,10559.352643111872,10634.42517746328,11431.738265092214,10773.473739289937,10870.295001339167
2006-01-01,10546.762769596533,10905.24965180186,12566.4898282769,11090.670213897109,11295.23483651165
2006-02-01,10388.489191850873,10910.191449961227,12426.861928669387,11154.173132235777,11237.581760940291
2006-03-01,10834.5329733247,11031.248865814687,12876.773016291852,11293.344537481375,11527.144201015431
2006-04-01,10618.705492052737,11165.340898277891,14425.974707169982,11481.478018253943,11936.532829537307
2006-05-01,11039.568840399237,10820.142985605245,14235.373421417446,11135.646185935195,11822.812317571621
2006-06-01,10946.043575644831,10821.079972167028,13570.478943200324,11115.563357885867,11654.644927639389
2006-07-01,10960.431708478083,10876.114673427946,13998.227247913139,11214.690569920256,11788.65562678463
2006-08-01,11523.381556322429,11107.495237331626,13805.40833114008,11459.424792252674,12027.50765779007
2006-09-01,11417.266418052684,11380.365275007636,13180.408383981077,11717.313638094001,12012.317124865504
2006-10-01,12643.885787960733,11738.93786489569,13351.06451784449,12139.761560640009,12586.241483746824
2006-11-01,12787.769860679842,11932.238920549884,14270.833535890493,12381.162301505785,12932.614782229593
2006-12-01,13187.05066672814,12082.7734552643,14009.308639367964,12477.204741795447,13040.184198022787
2007-01-01,13192.44613077853,12252.645687111173,14368.351809787286,12735.420380643482,13236.34961232141
2007-02-01,12672.662053627235,11984.972233063605,14734.043645988308,12485.582789055885,13050.011684293251
2007-03-01,13093.526088070385,12104.582051476442,14570.035332450621,12580.378788762444,13176.42622955873
2007-04-01,13050.359631280682,12628.597765812221,14869.237129010748,13189.746527197709,13534.412801858145
2007-05-01,13039.568703179906,13039.648882744921,14525.709766631324,13637.140613246838,13682.064495852665
2007-06-01,12967.625980723702,12807.33029233877,14244.237181851746,13380.089475732439,13471.4959086374
2007-07-01,12964.029462087878,12397.727812787381,14581.117569361419,13017.019553307702,13351.369104154492
2007-08-01,13992.80668828969,12557.20687737737,14742.907406422608,13184.063799249225,13743.06701716748
2007-09-01,14215.827892929952,13006.679643046598,16292.110788212685,13629.819100308969,14396.086251334698
2007-10-01,15877.698057921103,13199.469047881263,17424.6464112888,13880.264006333806,15212.104016646736
2007-11-01,16870.504608991458,12618.119323418749,17136.52516072752,13342.64227473382,15117.342539490244
2007-12-01,17035.97191010542,12509.24377280915,18275.709449585334,13122.75396082282,15310.7554355782
2008-01-01,16366.906923991331,11744.135488464823,20257.093016305378,12394.776748802893,15162.487084889817
2008-02-01,16814.74827868642,11335.89533121747,21316.489933958896,12074.456942804187,15283.448862235575
2008-03-01,16089.92833446059,11268.337664166338,20037.678590949545,11907.539943697131,14771.527678185157
2008-04-01,16032.374430934286,11804.109908003727,19204.34476443356,12536.835307603315,14913.570825627849
2008-05-01,16179.85639448252,11930.109122016554,19381.6487186227,12726.35115171399,15077.13254529631
2008-06-01,14431.654688105265,10904.568490649843,20257.093016305378,11604.6886216941,14183.892695972849
2008-07-01,13773.38200228525,10797.05630228497,19964.53988552695,11557.933121955777,13925.82951642562
2008-08-01,14035.97177288609,10928.67743566849,18109.486041395045,11736.54718992236,13720.724799069943
2008-09-01,15809.353226294023,9936.447144546453,18854.16704536049,10570.094738160236,13619.706151818838
2008-10-01,13812.950568245828,8252.969316653933,15811.169775422375,8875.130271356767,11528.925075810794
2008-11-01,12586.331884434429,7635.242466851631,17799.20200792412,8257.365205837661,11251.658262519848
2008-12-01,11561.151176868443,7694.962100921461,19175.531624830262,8271.11364790743,11266.735536095272
2009-01-01,10751.79863667107,7035.832092424105,20237.145328048333,7653.568854370722,10800.42558845437
2009-02-01,9223.021616298252,6262.374644249289,20529.698458826755,6831.196180975461,9939.897202190026
2009-03-01,10143.885444912408,6797.209381554552,20008.86545134625,7347.718555837115,10436.385902369662
2009-04-01,11025.180021469336,7435.63781070438,19341.755033020552,8135.5012980623105,11031.485603736804
2009-05-01,10690.647528412292,7830.332220492803,21320.92181417605,8611.045854264394,11576.907523640184
2009-06-01,10417.266143614024,7831.865613040358,20208.333879356982,8557.071988643413,11334.292919047195
2009-07-01,11440.647905765449,8412.53365638051,20689.273201235344,9247.421733315892,12123.289504851517
2009-08-01,11820.144428833459,8694.859874751624,20700.355438146144,9589.020680406176,12446.69935613143
2009-09-01,11953.237573451792,9005.469360071458,21908.24486129745,9881.947713311725,12859.958293012474
2009-10-01,11809.353500732683,8827.503269833516,22723.84778512094,9738.132762599147,12817.603507367428
2009-11-01,12061.15097103945,9333.884709887227,25629.43309556011,10338.066883442574,13669.001614548803
2009-12-01,11820.144428833459,9499.753170077205,23783.24470277446,10479.113251514262,13461.909417154548
2010-01-01,13746.403309840012,9148.506962350924,23484.04290621433,10152.646073823022,13731.267815541429
2010-02-01,14411.870405124977,9409.36464511556,24253.103478653968,10469.35573288923,14222.545506938184
2010-03-01,14616.906272199514,9962.601652902533,24146.719753410933,11061.175940052859,14664.626453375944
2010-04-01,13848.921243377281,10109.641986898205,25567.376627048317,11278.547273018397,14762.14145086961
2010-05-01,12688.849817971697,9280.89557196374,26347.517745486803,10382.414333237673,13937.84917788927
2010-06-01,14332.734645397122,8780.818252373432,26968.085812428657,9798.602000725114,14087.657909479287
2010-07-01,14050.360591815992,9384.744049277382,25596.18807573966,10517.655546482256,14296.74569242575
2010-08-01,14169.064917504425,8939.445605538225,27056.7386349792,10044.563383817229,14196.540569962091
2010-09-01,14870.50406011414,9722.103928968723,28348.849000463902,10885.821126232813,15136.224266314583
2010-10-01,14309.352471587708,10080.421733387702,29392.730110077522,11362.18989488544,15414.584374809017
2010-11-01,14330.93569998256,10057.335050067426,30013.298177019373,11362.18989488544,15493.913734673704
2010-12-01,14408.27388648915,10714.079434621686,30744.681849421417,12058.363110217255,16099.479123333049
2011-01-01,14703.23781358562,10956.705917148134,28783.24428004647,12404.21807832409,16137.413961489623
2011-02-01,15697.841937877241,11306.844588039456,30509.753306937633,12835.107671547772,16910.811131793336
2011-03-01,15041.36682527849,11295.002783401258,30997.341294597696,12781.121274041578,16773.336123082707
2011-04-01,14982.015348530922,11616.85818734386,33769.946525755084,13208.416144191488,17384.751228334404
2011-05-01,14221.223356980341,11460.019532166043,33164.89426685313,13060.294080930336,16990.130079335657
2011-06-01,13919.065020418922,11250.788665020858,32358.15679437589,12776.624255232471,16626.755698469184
2011-07-01,13339.928094326762,11009.18444419278,35082.00288858488,12583.10881175653,16650.14914609
2011-08-01,13129.496763201838,10383.960661955529,39388.29907531635,11891.342964054986,16682.1074564059
2011-09-01,12776.978932579066,9638.787000699776,35031.028656983886,11008.884239023924,15455.581523951356
2011-10-01,14003.597616390465,10677.106423266468,37087.76602377913,12273.642582343402,16881.52819947339
2011-11-01,14165.4683988686,10623.093983703922,37706.11899606838,12223.761823231202,16972.827876148483
2011-12-01,13723.022508223898,10713.738334075331,33685.72896524559,12273.642582343402,16441.38719310181
2012-01-01,14095.324621826958,11180.675863694143,37524.37977983819,12924.277818784893,17397.249585554182
2012-02-01,14109.712068563558,11634.49350156662,36411.79015410718,13485.26958832468,17652.36075997477
2012-03-01,14595.324415997962,11999.029111371721,35930.85083222882,13858.269583793919,18018.788009376825
2012-04-01,14469.42430865128,11909.066962093018,35877.661505975215,13826.079026646548,17927.98154384747
2012-05-01,14273.381796456255,11162.955274334796,33603.7231175648,12995.745232171972,17027.110235313048
